Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
14114;1035986;Bac STI2D;M;0;Non;0;Non boursier;;;;EPITECH;Toulouse;31;France;99100;PROGRAMME GRANDE ÉCOLE;;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;;Non;0
14084;1015208;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0921204J;Université Paris Nanterre;Nanterre;92;France;99100;Licence - Sciences humaines et sociales;Histoire de l'art et archéologie;;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;07/03/2018;Oui;1
14114;1196107;Bac STI2D;M;0;Non;0;Non boursier;I.U.T;3;0450092F;I.U.T d'Orléans;Orléans;45;France;99100;DUT - Production;Génie mécanique et productique;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Energies et environnement;338;31/03/2018;Oui;1
14118;1004861;Bac L;M;0;Non;0;Non boursier;Université;4;0860856N;Université de Poitiers;Poitiers;86;France;99100;;;;Littéraire;L;;;Langue renforcée;23;12/03/2018;Oui;1
14119;1005043;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0141408E;Université de Caen Normandie;Caen;14;France;99100;Licence - Sciences humaines et sociales;Humanités;;Economique et social;ES;;;Sciences sociales et politiques;353;31/03/2018;Oui;1
101103;1019813;Bac STMG;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0561687E;Facultés libres de l'ouest - UCO - Bretagne Sud;Arradon;56;France;99100;Licence - Sciences humaines et sociales;Information et communication;;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;30/03/2018;Oui;1
1539;1089965;Autres candidats;M;0;Non;0;Non boursier;;;;;;;;;;;;Sciences et technologies de la gestion;STG;;;Mercatique;206;31/03/2018;Oui;1
14119;1218495;Bac ES;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Arts-lettres-langues;Langues, littératures & civilisations étrangères et régionales;;Economique et social;ES;;;Mathématiques;11;12/03/2018;Oui;1
14119;1212419;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0370800U;Universite François-Rabelais - Tours;Tours;37;France;99100;Licence - Droit-économie-gestion;Administration économique et sociale;;Economique et social;ES;;;Mathématiques;11;30/03/2018;Oui;1
14084;1201882;Bac S;F;0;Non;0;Non boursier;Ecole;11;0920674Q;EPF - Formation Franco-Québecoise;Sceaux;92;France;99100;Formation Franco Quebecoise;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;31/03/2018;Oui;1
